City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,elliot lake,46.3834,-82.6331,275.09,98,100,1.72,CA,1969-12-31 19:00:01.682292966-05:00
156,ribeira grande,38.5167,-28.7,290.8,96,100,7.15,PT,1969-12-31 19:00:01.682292967-05:00
157,lima duarte,-21.8425,-43.7931,287.88,96,38,0.56,BR,1969-12-31 19:00:01.682292968-05:00
158,quatre cocos,-20.2078,57.7625,298.21,82,70,3.6,MU,1969-12-31 19:00:01.682292968-05:00
159,totness,5.8833,-56.3167,297.5,91,98,2.33,SR,1969-12-31 19:00:01.682292969-05:00
160,utrik,11.2278,169.8474,300.23,81,57,9.78,MH,1969-12-31 19:00:01.682292970-05:00
161,acarau,-2.8856,-40.12,298.84,83,97,4.78,BR,1969-12-31 19:00:01.682292970-05:00
162,albany,42.6001,-73.9662,283.65,84,98,1.91,US,1969-12-31 19:00:01.682292602-05:00
163,safaga,26.7292,33.9365,296.82,55,72,2.96,EG,1969-12-31 19:00:01.682292970-05:00
164,geraldton,-28.7667,114.6,293.38,68,97,5.14,AU,1969-12-31 19:00:01.682292971-05:00
165,balykshi,47.0667,51.8667,283.15,93,73,1.0,KZ,1969-12-31 19:00:01.682292971-05:00
166,san patricio,28.017,-97.5169,293.12,90,99,4.51,US,1969-12-31 19:00:01.682292972-05:00
167,codrington,-38.2667,141.9667,291.06,58,0,3.65,AU,1969-12-31 19:00:01.682292972-05:00
168,praia da vitoria,38.7333,-27.0667,291.29,94,75,8.02,PT,1969-12-31 19:00:01.682292972-05:00
169,young,-32.6833,-57.6333,289.53,64,99,3.5,UY,1969-12-31 19:00:01.682292973-05:00
170,as sulayyil,20.4607,45.5779,295.29,36,84,3.51,SA,1969-12-31 19:00:01.682292973-05:00
171,siwa oasis,29.2041,25.5195,295.05,36,0,6.67,EG,1969-12-31 19:00:01.682292973-05:00
172,batamshinskiy,50.5594,58.2747,279.54,77,18,3.15,KZ,1969-12-31 19:00:01.682292974-05:00
173,vernon,50.2581,-119.2691,283.87,77,100,2.06,CA,1969-12-31 19:00:01.682292974-05:00
174,olonkinbyen,70.9221,-8.7187,268.56,60,45,6.54,SJ,1969-12-31 19:00:01.682292975-05:00
175,brookings,44.3114,-96.7984,281.58,38,100,3.09,US,1969-12-31 19:00:01.682292698-05:00
176,juneau,58.3019,-134.4197,283.38,71,75,4.63,US,1969-12-31 19:00:01.682292976-05:00
177,san cristobal,7.7669,-72.225,294.25,97,57,1.2,VE,1969-12-31 19:00:01.682292976-05:00
178,sarkand,45.41,79.9186,284.47,31,87,3.19,KZ,1969-12-31 19:00:01.682292976-05:00
179,phan thiet,10.9333,108.1,300.58,70,77,2.86,VN,1969-12-31 19:00:01.682292976-05:00
180,ta`u,-14.2336,-169.5144,300.13,78,32,3.93,AS,1969-12-31 19:00:01.682292977-05:00
181,northam,51.0333,-4.2167,281.82,90,22,4.64,GB,1969-12-31 19:00:01.682292973-05:00
182,margate,51.3813,1.3862,281.98,88,100,4.02,GB,1969-12-31 19:00:01.682292977-05:00
183,saint-joseph,-21.3667,55.6167,297.36,76,100,0.7,RE,1969-12-31 19:00:01.682292978-05:00
184,buala,-8.145,159.5921,303.05,71,68,2.74,SB,1969-12-31 19:00:01.682292979-05:00
185,iwanai,42.9744,140.5089,279.74,74,89,6.26,JP,1969-12-31 19:00:01.682292979-05:00
186,hami,42.8,93.45,284.28,34,90,3.51,CN,1969-12-31 19:00:01.682292980-05:00
187,mpongwe,-13.5091,28.155,290.41,81,100,1.75,ZM,1969-12-31 19:00:01.682292980-05:00
188,fort riley north,39.1108,-96.8139,288.63,27,0,5.14,US,1969-12-31 19:00:01.682292981-05:00
189,extrema,-22.8547,-46.3183,288.31,89,82,1.68,BR,1969-12-31 19:00:01.682292981-05:00
